Ticker,Annual Return,Annual Volatility,Sharpe Ratio,Min Daily Return,Max Daily Return,Skewness,Kurtosis
AAPL,0.24768532326605175,0.31654036488559906,0.7824762676177737,-0.1377080886954804,0.11315736329033241,-0.11245826805033397,5.383355816285851
JNJ,0.02594519974495273,0.19615120020436724,0.13227142998829874,-0.07578424366604894,0.07693978760347339,0.24930445718743477,8.079134577733743
JPM,0.1352323493275968,0.32448678582683677,0.4167576469501101,-0.1621058976050918,0.16562001116688665,0.0024094220218550664,12.567394299661181
MSFT,0.20233536564170154,0.30523290716479046,0.6628884399166826,-0.15945339351218424,0.1329288921581033,-0.28396032269526766,7.550641472188261
PG,0.08616271868825148,0.2091756688500128,0.41191558828017205,-0.09142850749806197,0.11340930805807795,-0.11743026319862976,11.944410861541435
XOM,0.1321943789667646,0.34388705104780487,0.3844122032625992,-0.1303909530922136,0.11944221576794462,-0.16355260968265897,4.661780092689583
