Percentile,Portfolio Value,Total Return,Gain/Loss
1,1242255.373039972,0.2422553730399721,242255.37303997204
5,1247181.390181521,0.24718139018152085,247181.39018152095
10,1249523.9099955931,0.24952390999559307,249523.90999559313
25,1253873.7794570797,0.2538737794570797,253873.7794570797
50,1258916.1028529117,0.25891610285291167,258916.1028529117
75,1263755.35949994,0.26375535949993995,263755.35949993995
90,1268186.5063449345,0.26818650634493435,268186.50634493446
95,1270877.892342839,0.27087789234283893,270877.8923428389
99,1275820.106891279,0.2758201068912791,275820.1068912791
