Date,AAPL,JNJ,JPM,MSFT,PG,XOM
2020-01-02,72.46827697753906,123.29019165039062,119.03642272949219,152.5056915283203,105.52400970458984,53.661712646484375
2020-01-03,71.76374053955078,121.86279296875,117.46558380126953,150.60671997070312,104.81428527832031,53.230308532714844
2020-01-06,72.33555603027344,121.71072387695312,117.37215423583984,150.99600219726562,104.95964813232422,53.63899612426758
2020-01-07,71.99534606933594,122.45399475097656,115.37677001953125,149.61929321289062,104.309814453125,53.20003128051758
2020-01-08,73.15351104736328,122.43711853027344,116.27680969238281,152.00247192382812,104.75447845458984,52.39774703979492
2020-01-09,74.70732879638672,122.80027770996094,116.70138549804688,153.9014434814453,105.9002685546875,52.798885345458984
2020-01-10,74.87623596191406,122.52155303955078,115.53812408447266,153.18931579589844,106.00285339355469,52.32963562011719
2020-01-13,76.47590637207031,123.06212615966797,116.49761199951172,155.03134155273438,106.78096771240234,52.829166412353516
2020-01-14,75.4432373046875,123.75475311279297,117.85617065429688,153.9394073486328,106.61852264404297,52.37504577636719
2020-01-15,75.11991882324219,124.16860961914062,116.09001159667969,154.93637084960938,107.70442962646484,52.291778564453125
2020-01-16,76.0609130859375,125.17371368408203,116.54006958007812,157.7753143310547,107.79849243164062,52.087425231933594
2020-01-17,76.9029769897461,125.9929428100586,117.34669494628906,158.65834045410156,108.08922576904297,51.89065170288086
2020-01-21,76.3818130493164,126.07743835449219,116.19190216064453,158.08865356445312,107.81559753417969,51.148929595947266
2020-01-22,76.65443420410156,125.21588897705078,116.0560531616211,157.32904052734375,108.00370788574219,50.8537483215332
2020-01-23,77.02361297607422,125.45240783691406,115.93717956542969,158.29754638671875,107.50997161865234,50.53585433959961
2020-01-24,76.80164337158203,125.27508544921875,113.0587158203125,156.70237731933594,107.63900756835938,50.195281982421875
2020-01-27,74.54326629638672,125.63824462890625,112.10771942138672,154.0818328857422,108.11210632324219,48.99943161010742
2020-01-28,76.65206146240234,126.27172088623047,114.14554595947266,157.10122680664062,108.404541015625,48.93130874633789
2020-01-29,78.25653839111328,127.1501235961914,113.97575378417969,159.55081176757812,107.57020568847656,48.52259826660156
2020-01-30,78.14314270019531,126.99809265136719,115.38526153564453,164.0513916015625,108.33573150634766,49.03727340698242
2020-01-31,74.6783676147461,125.73958587646484,112.38790130615234,161.63021850585938,107.1917495727539,47.01644515991211
2020-02-03,74.47331237792969,126.837646484375,113.2454833984375,165.570556640625,107.61320495605469,45.96440505981445
2020-02-04,76.93191528320312,128.04544067382812,114.87580108642578,171.02056884765625,108.08628845214844,45.38918685913086
2020-02-05,77.55924987792969,130.0641326904297,116.82875061035156,170.8116912841797,109.07547760009766,47.47813415527344
2020-02-06,78.46644592285156,129.67556762695312,116.84573364257812,174.35325622558594,109.35929107666016,46.834800720214844
2020-02-07,77.39990234375,128.29039001464844,116.47212219238281,174.60011291503906,108.44755554199219,46.524478912353516
2020-02-10,77.76750946044922,128.2650604248047,116.95610046386719,179.1671142578125,108.52496337890625,46.03313064575195
2020-02-11,77.2983169555664,128.37481689453125,117.1768798828125,175.12234497070312,106.79605865478516,46.470741271972656
2020-02-12,79.13397216796875,127.61469268798828,117.1768798828125,175.37869262695312,106.18534851074219,47.03885269165039
2020-02-13,78.57044219970703,126.77005767822266,117.0749740600586,174.42922973632812,107.48417663574219,46.777835845947266
2020-02-14,78.58979797363281,126.80384063720703,116.71835327148438,175.98638916015625,108.4991455078125,46.562870025634766
2020-02-18,77.15078735351562,125.96764373779297,115.1729965209961,177.7713623046875,107.40676879882812,45.971717834472656
2020-02-19,78.26813507080078,125.79871368408203,116.74383544921875,178.30458068847656,107.89704895019531,46.32487106323242
2020-02-20,77.4652099609375,125.3172836303711,116.74383544921875,175.58163452148438,108.87764739990234,45.95635986328125
2020-02-21,75.71177673339844,126.63485717773438,115.31733703613281,170.03102111816406,108.98084259033203,45.39591979980469
2020-02-24,72.11544799804688,124.02537536621094,112.21807861328125,162.7000732421875,106.05633544921875,43.26930618286133
2020-02-25,69.67272186279297,122.95436096191406,107.20835876464844,160.01519775390625,104.44786834716797,41.61100769042969
2020-02-26,70.77800750732422,122.1298599243164,107.531005859375,162.0145721435547,103.35547637939453,40.69740295410156
2020-02-27,66.1513442993164,118.2537841796875,103.05622863769531,150.59915161132812,97.62689208984375,38.24834060668945
2020-02-28,66.11265563964844,114.30970764160156,98.58990478515625,154.24562072753906,97.39464569091797,39.49207305908203
2020-03-02,72.26779174804688,119.01880645751953,103.18356323242188,164.50897216796875,102.8393783569336,41.36532974243164
2020-03-03,69.97261810302734,115.25324249267578,99.3116455078125,156.6258087158203,101.64376831054688,39.384586334228516
2020-03-04,73.21826934814453,121.95980834960938,101.76557159423828,162.37635803222656,107.08850860595703,40.24443817138672
2020-03-05,70.84329223632812,120.7103042602539,96.77281951904297,158.30145263671875,104.61988067626953,38.470977783203125
2020-03-06,69.9024887084961,120.72731018066406,91.77157592773438,153.82675170898438,104.64569091796875,36.61307907104492
2020-03-09,64.3737564086914,115.97575378417969,79.34063720703125,143.4014892578125,99.82884979248047,32.137210845947266
2020-03-10,69.01004791259766,120.39582061767578,85.5051498413086,153.2078857421875,103.69093322753906,33.32719039916992
2020-03-11,66.61331176757812,112.03167724609375,81.4803695678711,146.2672119140625,95.98399353027344,32.22932815551758
2020-03-12,60.03492736816406,106.60010528564453,74.76396179199219,132.39552307128906,87.59754180908203,28.544225692749023
2020-03-13,67.22760009765625,114.14823150634766,88.23078918457031,151.21803283691406,98.11715698242188,29.26589012145996
