Metric,Value
Initial Investment,1000000.0
Mean Final Value,1258904.7485964885
Median Final Value,1258916.1028529117
Std Deviation,7276.302222815491
Mean Return,0.2589047485964886
Probability of Loss,0.0
95% VaR,-247181.39018152095
99% VaR,-242255.37303997204
95% CVaR,-244135.00545610604
99% CVaR,-239647.39844536013
1st Percentile (Worst),1242255.373039972
99th Percentile (Best),1275820.106891279
